iter	Passed	Remaining
1133	45452	3962709
1134	45500	3963383
1135	45546	3963854
1136	45590	3964152
1137	45634	3964467
1138	45674	3964401
1139	45713	3964202
1140	45751	3964013
1141	45789	3963765
1142	45826	3963530
1143	45868	3963595
1144	45905	3963319
1145	45943	3963119
1146	45981	3962903
1147	46019	3962641
1148	46063	3962984
1149	46104	3963004
1150	46144	3962923
1151	46184	3962875
1152	46223	3962760
1153	46263	3962724
1154	46302	3962611
1155	46339	3962282
1156	46379	3962236
1157	46417	3961974
1158	46455	3961773
1159	46495	3961728
1160	46540	3962126
1161	46588	3962730
1162	46630	3962883
1163	46672	3963010
1164	46713	3962990
1165	46752	3962903
1166	46797	3963312
1167	46838	3963329
1168	46882	3963604
1169	46922	3963509
1170	46963	3963578
1171	47001	3963348
1172	47041	3963317
1173	47081	3963260
1174	47122	3963277
1175	47161	3963150
1176	47210	3963863
1177	47256	3964317
1178	47296	3964318
1179	47342	3964692
1180	47383	3964774
1181	47429	3965246
1182	47478	3965898
1183	47519	3965976
1184	47561	3966034
1185	47606	3966463
1186	47653	3966923
1187	47701	3967605
1188	47749	3968174
1189	47790	3968235
1190	47833	3968434
1191	47876	3968588
1192	47924	3969246
1193	47974	3970013
1194	48019	3970315
1195	48064	3970673
1196	48106	3970813
1197	48146	3970781
1198	48189	3970936
1199	48232	3971123
1200	48287	3972289
1201	48331	3972564
1202	48378	3973129
1203	48419	3973172
1204	48460	3973186
1205	48507	3973648
1206	48555	3974249
1207	48599	3974528
1208	48646	3975020
1209	48694	3975628
1210	48736	3975779
1211	48783	3976256
1212	48834	3977070
1213	48886	3978046
1214	48939	3979020
1215	48992	3979976
1216	49044	3980886
1217	49096	3981841
1218	49146	3982552
1219	49202	3983806
1220	49252	3984495
1221	49296	3984782
1222	49340	3985070
1223	49386	3985491
1224	49442	3986654
1225	49490	3987225
1226	49539	3987928
1227	49586	3988365
1228	49627	3988406
1229	49672	3988724
1230	49714	3988847
1231	49757	3988966
1232	49803	3989449
1233	49850	3989896
1234	49896	3990338
1235	49940	3990549
1236	49985	3990909
1237	50031	3991300
1238	50076	3991594
1239	50122	3991979
1240	50169	3992464
1241	50211	3992601
1242	50256	3992879
1243	50302	3993284
1244	50349	3993818
1245	50397	3994309
1246	50440	3994534
1247	50487	3995014
1248	50534	3995496
1249	50560	3994303
1250	50601	3994255
1251	50648	3994758
1252	50688	3994664
1253	50731	3994805
1254	50778	3995337
1255	50828	3996016
1256	50873	3996370
1257	50925	3997177
1258	50972	3997692
1259	51016	3997912
1260	51059	3998094
1261	51105	3998452
1262	51152	3998918
1263	51199	3999388
1264	51245	3999778
1265	51286	3999766
1266	51326	3999718
1267	51370	3999950
1268	51411	3999946
1269	51455	4000126
1270	51499	4000381
1271	51539	4000293
1272	51587	4000824
1273	51632	4001150
1274	51679	4001646
1275	51729	4002335
1276	51782	4003241
1277	51827	4003568
1278	51874	4004023
1279	51921	4004425
1280	51966	4004710
1281	52012	4005097
1282	52045	4004496
1283	52070	4003276
1284	52112	4003350
1285	52154	4003400
1286	52193	4003275
1287	52237	4003452
1288	52285	4003998
1289	52327	4004043
1290	52376	4004653
1291	52423	4005122
1292	52467	4005356
1293	52513	4005723
1294	52559	4006097
1295	52603	4006322
1296	52648	4006621
1297	52695	4007076
1298	52736	4007008
1299	52780	4007226
1300	52820	4007189
1301	52864	4007419
1302	52908	4007569
1303	52950	4007705
1304	53000	4008334
1305	53046	4008728
1306	53093	4009114
1307	53135	4009209
1308	53179	4009401
1309	53224	4009688
1310	53267	4009823
1311	53309	4009884
1312	53357	4010438
1313	53402	4010726
1314	53447	4010965
1315	53493	4011343
1316	53542	4011958
1317	53586	4012146
1318	53629	4012270
1319	53673	4012485
1320	53721	4012989
1321	53768	4013421
1322	53810	4013514
1323	53855	4013771
1324	53897	4013842
1325	53944	4014296
1326	53991	4014733
1327	54040	4015272
1328	54089	4015866
1329	54140	4016591
1330	54190	4017213
1331	54230	4017153
1332	54277	4017538
1333	54323	4017907
1334	54371	4018384
1335	54417	4018745
1336	54463	4019122
1337	54510	4019490
1338	54554	4019697
1339	54600	4020097
1340	54644	4020229
1341	54688	4020474
1342	54734	4020783
1343	54778	4021030
1344	54822	4021221
1345	54869	4021618
1346	54916	4022058
